"ID","ISDELETED","ACCOUNTID","ISPRIVATE","NAME","DESCRIPTION","STAGENAME","AMOUNT","PROBABILITY","EXPECTEDREVENUE","TOTALOPPORTUNITYQUANTITY","CLOSEDATE","TYPE","NEXTSTEP","LEADSOURCE","ISCLOSED","ISWON","FORECASTCATEGORY","FORECASTCATEGORYNAME","CAMPAIGNID","HASOPPORTUNITYLINEITEM","PRICEBOOK2ID","OWNERID","CREATEDDATE","CREATEDBYID","LASTMODIFIEDDATE","LASTMODIFIEDBYID","SYSTEMMODSTAMP","LASTACTIVITYDATE","FISCALQUARTER","FISCALYEAR","FISCAL"
"006gK000000GUrmQAG","0","001gK00000273coQAA","0","United Oil Office Portable Generators",,"Negotiation/Review","125000.0","90.0","112500.0",,"01/18/2025 00:00:00.000000","Existing Customer - Upgrade",,,"0","0","Pipeline","Pipeline",,"0",,"005gK0000011GBpQAM","03/24/2025 16:31:27.000000","005gK0000011GBpQAM","03/24/2025 16:31:27.000000","005gK0000011GBpQAM","03/24/2025 16:31:27.000000",,"1","2015","2015 1"
"006gK000000GUrnQAG","0","001gK00000273cpQAA","0","Express Logistics Standby Generator",,"Closed Won","220000.0","100.0","220000.0",,"12/14/2024 00:00:00.000000","New Customer",,"Trade Show","1","1","Closed","Closed",,"0",,"005gK0000011GBpQAM","03/24/2025 16:31:27.000000","005gK0000011GBpQAM","03/24/2025 16:31:27.000000","005gK0000011GBpQAM","03/24/2025 16:31:27.000000",,"1","2015","2015 1"
"006gK000000GUroQAG","0","001gK00000273ctQAA","0","GenePoint Standby Generator",,"Closed Won","85000.0","100.0","85000.0",,"01/21/2025 00:00:00.000000","New Customer",,"Partner","1","1","Closed","Closed",,"0",,"005gK0000011GBpQAM","03/24/2025 16:31:27.000000","005gK0000011GBpQAM","03/24/2025 16:31:27.000000","005gK0000011GBpQAM","03/24/2025 16:31:27.000000",,"1","2015","2015 1"
"006gK000000GUrqQAG","0","001gK00000273coQAA","0","United Oil Refinery Generators",,"Proposal/Price Quote","270000.0","75.0","202500.0",,"03/04/2025 00:00:00.000000","Existing Customer - Upgrade",,,"0","0","Pipeline","Pipeline",,"0",,"005gK0000011GBpQAM","03/24/2025 16:31:27.000000","005gK0000011GBpQAM","03/24/2025 16:31:27.000000","005gK0000011GBpQAM","03/24/2025 16:31:27.000000",,"2","2015","2015 2"
"006gK000000GUrrQAG","0","001gK00000273coQAA","0","United Oil SLA",,"Closed Won","120000.0","100.0","120000.0",,"03/11/2025 00:00:00.000000","Existing Customer - Upgrade",,"Partner","1","1","Closed","Closed",,"0",,"005gK0000011GBpQAM","03/24/2025 16:31:27.000000","005gK0000011GBpQAM","03/24/2025 16:31:27.000000","005gK0000011GBpQAM","03/24/2025 16:31:27.000000",,"2","2015","2015 2"
"006gK000000GUrtQAG","0","001gK00000273cjQAA","0","Edge Emergency Generator",,"Closed Won","75000.0","100.0","75000.0",,"03/19/2025 00:00:00.000000","New Customer",,"Word of mouth","1","1","Closed","Closed",,"0",,"005gK0000011GBpQAM","03/24/2025 16:31:27.000000","005gK0000011GBpQAM","03/24/2025 16:31:27.000000","005gK0000011GBpQAM","03/24/2025 16:31:27.000000",,"2","2015","2015 2"
"006gK000000GUruQAG","0","001gK00000273cqQAA","0","University of AZ Portable Generators",,"Closed Won","50000.0","100.0","50000.0",,"12/18/2024 00:00:00.000000","New Customer",,"Public Relations","1","1","Closed","Closed",,"0",,"005gK0000011GBpQAM","03/24/2025 16:31:27.000000","005gK0000011GBpQAM","03/24/2025 16:31:27.000000","005gK0000011GBpQAM","03/24/2025 16:31:27.000000",,"1","2015","2015 1"
"006gK000000GUryQAG","0","001gK00000273ctQAA","0","GenePoint SLA",,"Closed Won","30000.0","100.0","30000.0",,"03/16/2025 00:00:00.000000","Existing Customer - Upgrade",,"Partner","1","1","Closed","Closed",,"0",,"005gK0000011GBpQAM","03/24/2025 16:31:27.000000","005gK0000011GBpQAM","03/24/2025 16:31:27.000000","005gK0000011GBpQAM","03/24/2025 16:31:27.000000",,"2","2015","2015 2"
"006gK000000GUrzQAG","0","001gK00000273coQAA","0","United Oil Installations",,"Negotiation/Review","270000.0","90.0","243000.0",,"01/14/2025 00:00:00.000000","Existing Customer - Upgrade",,,"0","0","Pipeline","Pipeline",,"0",,"005gK0000011GBpQAM","03/24/2025 16:31:27.000000","005gK0000011GBpQAM","03/24/2025 16:31:27.000000","005gK0000011GBpQAM","03/24/2025 16:31:27.000000",,"1","2015","2015 1"
"006gK000000GUs0QAG","0","001gK00000273cjQAA","0","Edge Installation",,"Closed Won","50000.0","100.0","50000.0",,"01/08/2025 00:00:00.000000","Existing Customer - Upgrade",,"Word of mouth","1","1","Closed","Closed",,"0",,"005gK0000011GBpQAM","03/24/2025 16:31:27.000000","005gK0000011GBpQAM","03/24/2025 16:31:27.000000","005gK0000011GBpQAM","03/24/2025 16:31:27.000000",,"1","2015","2015 1"
