2025-03-14 00:29:25 : INFO : (11800 | DIRECTOR) : (IS | IS) : node01 : TM_6014 : Initializing session [s_m_2387349_WelcomeLetter] at [Fri Mar 14 00:29:25 2025].
2025-03-14 00:29:25 : INFO : (11800 | DIRECTOR) : (IS | IS) : node01 : TM_6683 : Repository Name: [REP]
2025-03-14 00:29:25 : INFO : (11800 | DIRECTOR) : (IS | IS) : node01 : TM_6684 : Server Name: [IS]
2025-03-14 00:29:25 : INFO : (11800 | DIRECTOR) : (IS | IS) : node01 : TM_6686 : Folder: [SUBGROUP]
2025-03-14 00:29:25 : INFO : (11800 | DIRECTOR) : (IS | IS) : node01 : TM_6685 : Workflow: [wf_2387349_WelcomeLetter] Run Instance Name: [] Run Id: [104]
2025-03-14 00:29:25 : INFO : (11800 | DIRECTOR) : (IS | IS) : node01 : TM_6992 : Operating System Type [NT]
2025-03-14 00:29:25 : INFO : (11800 | DIRECTOR) : (IS | IS) : node01 : TM_6101 : Mapping name: m_2387349_WelcomeLetter.
2025-03-14 00:29:25 : INFO : (11800 | DIRECTOR) : (IS | IS) : node01 : TM_6964 : Date format for the Session is [MM/DD/YYYY HH24:MI:SS.US]
2025-03-14 00:29:25 : INFO : (11800 | DIRECTOR) : (IS | IS) : node01 : TM_6708 : Using configuration property [EnableDataEncryption,no]
2025-03-14 00:29:25 : INFO : (11800 | DIRECTOR) : (IS | IS) : node01 : TM_6708 : Using configuration property [StoreHAPersistenceInDB,no]
2025-03-14 00:29:25 : INFO : (11800 | DIRECTOR) : (IS | IS) : node01 : TM_6703 : Session [s_m_2387349_WelcomeLetter] is run by 64-bit Integration Service  [node01], version [10.5.2], build [0322].
2025-03-14 00:29:25 : INFO : (11800 | MANAGER) : (IS | IS) : node01 : PETL_24091 : Thread [MANAGER] has the ID [1].
2025-03-14 00:29:25 : INFO : (11800 | MANAGER) : (IS | IS) : node01 : PETL_24058 : Running Partition Group [1].
2025-03-14 00:29:25 : INFO : (11800 | MANAGER) : (IS | IS) : node01 : PETL_24000 : Parallel Pipeline Engine initializing.
2025-03-14 00:29:25 : INFO : (11800 | MONITOR) : (IS | IS) : node01 : PETL_24091 : Thread [MONITOR] has the ID [2].
2025-03-14 00:29:25 : INFO : (11800 | MANAGER) : (IS | IS) : node01 : PETL_24001 : Parallel Pipeline Engine running.
2025-03-14 00:29:25 : INFO : (11800 | MANAGER) : (IS | IS) : node01 : PETL_24003 : Initializing session run.
2025-03-14 00:29:25 : INFO : (11800 | MAPPING) : (IS | IS) : node01 : PETL_24091 : Thread [MAPPING] has the ID [3].
2025-03-14 00:29:25 : INFO : (11800 | MAPPING) : (IS | IS) : node01 : CMN_1569 : Server Mode: [ASCII]
2025-03-14 00:29:25 : INFO : (11800 | MAPPING) : (IS | IS) : node01 : CMN_1570 : Server Code page: [MS Windows Latin 1 (ANSI), superset of Latin1]
2025-03-14 00:29:25 : INFO : (11800 | MAPPING) : (IS | IS) : node01 : TM_6151 : The session sort order is [Binary].
2025-03-14 00:29:25 : INFO : (11800 | MAPPING) : (IS | IS) : node01 : CMN_65110 : Current Timezone:[UTC +5:30]
2025-03-14 00:29:25 : INFO : (11800 | MAPPING) : (IS | IS) : node01 : CMN_65112 : Current Process ID:[11800]
2025-03-14 00:29:25 : INFO : (11800 | MAPPING) : (IS | IS) : node01 : TM_6156 : Using low precision processing.
2025-03-14 00:29:25 : INFO : (11800 | MAPPING) : (IS | IS) : node01 : TM_6180 : Deadlock retry logic will not be implemented.
2025-03-14 00:29:25 : INFO : (11800 | MAPPING) : (IS | IS) : node01 : TM_6187 : Session target-based commit interval is [10000].
2025-03-14 00:29:25 : INFO : (11800 | MAPPING) : (IS | IS) : node01 : TM_6307 : DTM error log disabled. 
2025-03-14 00:29:25 : INFO : (11800 | MAPPING) : (IS | IS) : node01 : TE_7022 : TShmWriter: Initialized
2025-03-14 00:29:25 : INFO : (11800 | MAPPING) : (IS | IS) : node01 : XMLW_31071 : Warning! No tag will be generated for NULL data for XML target [Group_details_modified].
2025-03-14 00:29:25 : INFO : (11800 | MAPPING) : (IS | IS) : node01 : XMLW_31119 : No attribute tags will be generated for NULL data for XML target [Group_details_modified].
2025-03-14 00:29:25 : INFO : (11800 | MAPPING) : (IS | IS) : node01 : DBG_21692 : Group_details_modified: Cache size = [335544320]
2025-03-14 00:29:25 : INFO : (11800 | MAPPING) : (IS | IS) : node01 : DBG_21694 : JNRTRANS1 Partition [0]: Index cache size = [33554432], Data cache size = [67108864]
2025-03-14 00:29:25 : INFO : (11800 | MAPPING) : (IS | IS) : node01 : TT_11098 : The Joiner transformation [JNRTRANS1] is configured with the join algorithm: Nested-Loop.
2025-03-14 00:29:25 : INFO : (11800 | MAPPING) : (IS | IS) : node01 : DBG_21694 : JNRTRANS Partition [0]: Index cache size = [33554432], Data cache size = [67108864]
2025-03-14 00:29:25 : INFO : (11800 | MAPPING) : (IS | IS) : node01 : TT_11098 : The Joiner transformation [JNRTRANS] is configured with the join algorithm: Nested-Loop.
